group,num,turn,order,fixation,trustor,trustee,result_a,result_b,pSent,pReturn,
1,1,0,0,0,200,400,1200,200,0.2,0.666666667,
1,2,1,0,0,500,1200,300,1700,0.5,0.8,
1,3,0,0,0,400,800,1400,400,0.4,0.666666667,
1,4,1,0,0,1000,2000,1000,2000,1,0.666666667,
1,5,0,0,0,800,1000,1200,1400,0.8,0.416666667,
1,6,1,0,0,900,1500,1200,1600,0.9,0.555555556,
1,7,0,1,1,400,900,1500,300,0.4,0.75,
1,8,1,1,3,1000,2500,500,2500,1,0.833333333,
1,9,0,1,3,600,1100,1500,700,0.6,0.611111111,
1,10,1,2,1,1000,2000,1000,2000,1,0.666666667,
1,11,0,3,2,1000,2500,2500,500,1,0.833333333,
1,12,1,1,2,1000,2500,500,2500,1,0.833333333,
1,13,0,2,2,1000,2000,2000,1000,1,0.666666667,
1,14,1,2,3,1000,2000,1000,2000,1,0.666666667,
1,15,0,3,1,1000,1500,1500,1500,1,0.5,
1,16,1,2,1,1000,1500,1500,1500,1,0.5,
1,17,0,2,1,1000,3000,3000,0,1,1,
1,18,1,3,3,1000,3000,0,3000,1,1,
1,19,0,3,3,1000,2000,2000,1000,1,0.666666667,
1,20,1,2,3,500,1000,500,1500,0.5,0.666666667,
1,21,0,1,2,1500,2800,2300,1700,1.5,0.622222222,
1,22,1,3,2,1000,2000,1000,2000,1,0.666666667,
1,23,0,2,3,1000,2000,2000,1000,1,0.666666667,
1,24,1,2,2,1000,2000,1000,2000,1,0.666666667,
1,25,0,0,0,1000,2000,2000,1000,1,0.666666667,
1,26,1,0,0,1000,2000,1000,2000,1,0.666666667,
1,27,0,0,0,1000,2100,2100,900,1,0.7,
1,28,1,0,0,1000,2100,900,2100,1,0.7,
1,29,0,0,0,1000,1900,1900,1100,1,0.633333333,
1,30,1,0,0,1000,1900,1100,1900,1,0.633333333,
1,31,0,2,2,1000,2000,2000,1000,1,0.666666667,
1,32,1,1,1,1000,2000,1000,2000,1,0.666666667,
1,33,0,2,1,1000,2000,2000,1000,1,0.666666667,
1,34,1,1,2,1000,2100,900,2100,1,0.7,
1,35,0,1,3,1000,2000,2000,1000,1,0.666666667,
1,36,1,3,3,1000,2000,1000,2000,1,0.666666667,
1,37,0,3,1,1000,2000,2000,1000,1,0.666666667,
1,38,1,2,2,1000,2000,1000,2000,1,0.666666667,
1,39,0,3,2,1000,2000,2000,1000,1,0.666666667,
1,40,1,1,3,1000,2000,1000,2000,1,0.666666667,
1,41,0,1,1,1000,2000,2000,1000,1,0.666666667,
1,42,1,1,1,1000,2000,1000,2000,1,0.666666667,
1,43,0,3,3,1000,2000,2000,1000,1,0.666666667,
1,44,1,3,2,1000,2000,1000,2000,1,0.666666667,
1,45,0,2,3,1000,2000,2000,1000,1,0.666666667,
1,46,1,3,1,1000,2000,1000,2000,1,0.666666667,
1,47,0,1,2,1000,2000,2000,1000,1,0.666666667,
1,48,1,3,1,1000,2000,1000,2000,1,0.666666667,
2,1,0,0,0,300,400,1100,500,0.3,0.444444444,
2,2,1,0,0,200,400,200,1200,0.2,0.666666667,
2,3,0,0,0,500,800,1300,700,0.5,0.533333333,
2,4,1,0,0,600,300,1500,700,0.6,0.166666667,
2,5,0,0,0,700,1000,1300,1100,0.7,0.476190476,
2,6,1,0,0,700,500,1600,800,0.7,0.238095238,
2,7,0,1,1,600,900,1300,900,0.6,0.5,
2,8,1,1,3,800,1200,1200,1400,0.8,0.5,
2,9,0,1,3,900,1400,1500,1300,0.9,0.518518519,
2,10,1,2,1,900,1000,1700,1100,0.9,0.37037037,
2,11,0,3,2,100,200,1100,100,0.1,0.666666667,
2,12,1,1,2,200,300,300,1100,0.2,0.5,
2,13,0,2,2,800,1200,1400,1200,0.8,0.5,
2,14,1,2,3,800,2300,100,2500,0.8,0.958333333,
2,15,0,3,1,500,700,1200,800,0.5,0.466666667,
2,16,1,2,1,500,700,800,1200,0.5,0.466666667,
2,17,0,2,1,400,500,1100,700,0.4,0.416666667,
2,18,1,3,3,900,1300,1400,1400,0.9,0.481481482,
2,19,0,3,3,600,900,1300,900,0.6,0.5,
2,20,1,2,3,600,1000,800,1400,0.6,0.555555556,
2,21,0,1,2,300,400,1100,500,0.3,0.444444444,
2,22,1,3,2,200,300,300,1100,0.2,0.5,
2,23,0,2,3,700,1000,1300,1100,0.7,0.476190476,
2,24,1,2,2,1000,1200,1800,1200,1,0.4,
2,25,0,0,0,500,600,1100,900,0.5,0.4,
2,26,1,0,0,600,800,1000,1200,0.6,0.444444444,
2,27,0,0,0,700,900,1200,1200,0.7,0.428571429,
2,28,1,0,0,700,1100,1000,1400,0.7,0.523809524,
2,29,0,0,0,600,1000,1400,800,0.6,0.555555556,
2,30,1,0,0,800,1000,1400,1200,0.8,0.416666667,
2,31,0,2,2,700,900,1200,1200,0.7,0.428571429,
2,32,1,1,1,500,500,1000,1000,0.5,0.333333333,
2,33,0,2,1,500,500,1000,1000,0.5,0.333333333,
2,34,1,1,2,900,1000,1700,1100,0.9,0.37037037,
2,35,0,1,3,900,1300,1400,1400,0.9,0.481481482,
2,36,1,3,3,300,400,500,1100,0.3,0.444444444,
2,37,0,3,1,400,500,1100,700,0.4,0.416666667,
2,38,1,2,2,400,400,800,1000,0.4,0.333333333,
2,39,0,3,2,800,1200,1400,1200,0.8,0.5,
2,40,1,1,3,600,600,1200,1000,0.6,0.333333333,
2,41,0,1,1,300,300,1000,600,0.3,0.333333333,
2,42,1,1,1,200,200,400,1000,0.2,0.333333333,
2,43,0,3,3,700,1000,1300,1100,0.7,0.476190476,
2,44,1,3,2,800,1200,1200,1400,0.8,0.5,
2,45,0,2,3,800,1400,1600,1000,0.8,0.583333333,
2,46,1,3,1,900,1300,1400,1400,0.9,0.481481482,
2,47,0,1,2,700,1100,1400,1000,0.7,0.523809524,
2,48,1,3,1,1000,1500,1500,1500,1,0.5,
3,1,0,0,0,400,100,700,1100,0.4,0.083333333,
3,2,1,0,0,300,900,0,1600,0.3,1,
3,3,0,0,0,500,700,1200,800,0.5,0.466666667,
3,4,1,0,0,300,400,500,1100,0.3,0.444444444,
3,5,0,0,0,600,700,1100,1100,0.6,0.388888889,
3,6,1,0,0,400,400,800,1000,0.4,0.333333333,
3,7,0,3,1,800,900,1100,1500,0.8,0.375,
3,8,1,1,2,500,200,1300,700,0.5,0.133333333,
3,9,0,3,1,500,400,900,1100,0.5,0.266666667,
3,10,1,3,2,400,300,900,900,0.4,0.25,
3,11,0,3,3,300,200,900,700,0.3,0.222222222,
3,12,1,3,1,300,100,800,800,0.3,0.111111111,
3,13,0,2,3,200,0,800,600,0.2,0,
3,14,1,2,1,300,400,500,1100,0.3,0.444444444,
3,15,0,3,3,800,1000,1200,1400,0.8,0.416666667,
3,16,1,1,1,400,200,1000,800,0.4,0.166666667,
3,17,0,2,3,700,800,1100,1300,0.7,0.380952381,
3,18,1,1,3,500,400,1100,900,0.5,0.266666667,
3,19,0,2,1,500,300,800,1200,0.5,0.2,
3,20,1,3,1,500,400,1100,900,0.5,0.266666667,
3,21,0,1,3,300,100,800,800,0.3,0.111111111,
3,22,1,3,3,500,500,1000,1000,0.5,0.333333333,
3,23,0,2,2,500,500,1000,1000,0.5,0.333333333,
3,24,1,2,2,800,1100,1300,1300,0.8,0.458333333,
3,25,0,0,0,400,300,900,900,0.4,0.25,
3,26,1,0,0,800,1000,1400,1200,0.8,0.416666667,
3,27,0,0,0,400,300,900,900,0.4,0.25,
3,28,1,0,0,800,1100,1300,1300,0.8,0.458333333,
3,29,0,0,0,700,700,1000,1400,0.7,0.333333333,
3,30,1,0,0,800,900,1500,1100,0.8,0.375,
3,31,0,3,2,700,900,1200,1200,0.7,0.428571429,
3,32,1,1,2,1000,1500,1500,1500,1,0.5,
3,33,0,2,1,1000,1500,1500,1500,1,0.5,
3,34,1,2,1,1000,1500,1500,1500,1,0.5,
3,35,0,1,2,1000,1500,1500,1500,1,0.5,
3,36,1,1,3,1000,1500,1500,1500,1,0.5,
3,37,0,3,2,1000,1500,1500,1500,1,0.5,
3,38,1,1,1,1000,1500,1500,1500,1,0.5,
3,39,0,1,2,1000,1500,1500,1500,1,0.5,
3,40,1,3,2,1000,1500,1500,1500,1,0.5,
3,41,0,1,1,1000,1500,1500,1500,1,0.5,
3,42,1,2,2,1000,1500,1500,1500,1,0.5,
3,43,0,1,1,1000,1500,1500,1500,1,0.5,
3,44,1,3,3,1000,1500,1500,1500,1,0.5,
3,45,0,1,3,1000,1500,1500,1500,1,0.5,
3,46,1,2,3,1000,1500,1500,1500,1,0.5,
3,47,0,2,2,1000,1500,1500,1500,1,0.5,
3,48,1,2,3,1000,1500,1500,1500,1,0.5,
4,1,0,0,0,400,600,1200,600,0.4,0.5,
4,2,1,0,0,800,2400,0,2600,0.8,1,
4,3,0,0,0,600,1000,1400,800,0.6,0.555555556,
4,4,1,0,0,900,2500,200,2600,0.9,0.925925926,
4,5,0,0,0,500,700,1200,800,0.5,0.466666667,
